date,investor,sell,buy,net
2025-11-14,금융투자,15937,16411,474
2025-11-14,보험,1455,540,-915
2025-11-14,투신,3243,434,-2809
2025-11-14,사모,2725,220,-2505
2025-11-14,은행,0,0,0
2025-11-14,기타금융,148,5,-143
2025-11-14,연기금 등,9829,14122,4293
2025-11-14,기관합계,33337,31732,-1605
2025-11-14,기타법인,4081,1013,-3068
2025-11-14,개인,56637,66537,9900
2025-11-14,외국인,65277,59938,-5339
2025-11-14,기타외국인,23,135,112
2025-11-14,전체,159355,159355,0
2025-11-17,금융투자,13414,10578,-2836
2025-11-17,보험,549,163,-386
2025-11-17,투신,1576,2890,1314
2025-11-17,사모,612,2842,2230
2025-11-17,은행,0,0,0
2025-11-17,기타금융,3,3,0
2025-11-17,연기금 등,20336,15000,-5336
2025-11-17,기관합계,36490,31476,-5014
2025-11-17,기타법인,226,406,180
2025-11-17,개인,36469,42375,5906
2025-11-17,외국인,48201,47125,-1076
2025-11-17,기타외국인,11,15,4
2025-11-17,전체,121397,121397,0
2025-11-18,금융투자,14955,17953,2998
2025-11-18,보험,3837,497,-3340
2025-11-18,투신,14022,1813,-12209
2025-11-18,사모,60,89,29
2025-11-18,은행,0,0,0
2025-11-18,기타금융,6,6,0
2025-11-18,연기금 등,31902,7019,-24883
2025-11-18,기관합계,64782,27377,-37405
2025-11-18,기타법인,532,3045,2513
2025-11-18,개인,51040,67539,16499
2025-11-18,외국인,41401,59366,17965
2025-11-18,기타외국인,27,455,428
2025-11-18,전체,157782,157782,0
2025-11-19,금융투자,15466,34404,18938
2025-11-19,보험,927,608,-319
2025-11-19,투신,3938,1037,-2901
2025-11-19,사모,435,214,-221
2025-11-19,은행,0,0,0
2025-11-19,기타금융,4,4,0
2025-11-19,연기금 등,17855,12978,-4877
2025-11-19,기관합계,38625,49245,10620
2025-11-19,기타법인,588,94,-494
2025-11-19,개인,46014,19614,-26400
2025-11-19,외국인,118897,135149,16252
2025-11-19,기타외국인,30,52,22
2025-11-19,전체,204154,204154,0
2025-11-20,금융투자,20862,24581,3719
2025-11-20,보험,939,446,-493
2025-11-20,투신,5392,5956,564
2025-11-20,사모,645,2448,1803
2025-11-20,은행,0,0,0
2025-11-20,기타금융,142,2,-140
2025-11-20,연기금 등,10289,8555,-1734
2025-11-20,기관합계,38269,41988,3719
2025-11-20,기타법인,1471,1474,3
2025-11-20,개인,62379,20004,-42375
2025-11-20,외국인,68964,105732,36768
2025-11-20,기타외국인,116,2001,1885
2025-11-20,전체,171199,171199,0
2025-11-21,금융투자,12248,14384,2136
2025-11-21,보험,466,1097,631
2025-11-21,투신,2117,4450,2333
2025-11-21,사모,61,3063,3002
2025-11-21,은행,0,0,0
2025-11-21,기타금융,220,2,-218
2025-11-21,연기금 등,6830,12757,5927
2025-11-21,기관합계,21942,35753,13811
2025-11-21,기타법인,266,21,-245
2025-11-21,개인,57378,25007,-32371
2025-11-21,외국인,63577,87037,23460
2025-11-21,기타외국인,4887,232,-4655
2025-11-21,전체,148050,148050,0
2025-11-24,금융투자,18892,29912,11020
2025-11-24,보험,321,787,466
2025-11-24,투신,3765,3848,83
2025-11-24,사모,278,5746,5468
2025-11-24,은행,0,0,0
2025-11-24,기타금융,39,2,-37
2025-11-24,연기금 등,7654,5578,-2076
2025-11-24,기관합계,30949,45873,14924
2025-11-24,기타법인,1386,85,-1301
2025-11-24,개인,31556,25331,-6225
2025-11-24,외국인,132590,125188,-7402
2025-11-24,기타외국인,1,5,4
2025-11-24,전체,196482,196482,0
